中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
髓腔,medullary cavity,腔隙通道,第一章 运动系统,6,33,"骨具有一定的形态, 表面有较厚的致密结缔组织膜即骨膜包被, 骨髓腔及 小梁间隙分布有骨髓, 骨膜内含丰富的血管、 淋巴管及神经, 能不断进行新陈代谢和生长发育, 并有修 复、 再生和改建的能力。","骨具有一定的形态, 表面有较厚的致密结缔组织膜即骨膜包被, 骨髓腔及 小梁间隙分布有骨髓, 骨膜内含丰富的血管、 淋巴管及神经, 能不断进行新陈代谢和生长发育, 并有修 复、 再生和改建的能力。",,"图1-1, 图1-2",高
上髁,epicondyle,骨与骨性标志,第一章 运动系统,8,35,4. 骨端的膨大 骨端圆形膨大称 头 head 或小头 capitulum; 头下略细部分称颈 neck; 椭圆形膨大 称髁 condyle; 髁的突出处称上髁epicondyle。,,,图1-3,高
凹,fovea,其他,第一章 运动系统,8,35,2. 骨面凹陷 因骨与邻位器官 、 结构相接触或肌肉附着而形成。,2. 骨面凹陷 因骨与邻位器官 、 结构相接触或肌肉附着而形成。,,"图1-2, 图1-3",高
切迹,notch,骨与骨性标志,第一章 运动系统,8,35,"5. 其他特征 平滑骨面称 面 surface; 骨的边缘称缘 border; 边缘的缺口或凹入称切迹notch, 常 为血管、 神经或肌腱通过处。","边缘的缺口或凹入称切迹notch, 常 为血管、 神经或肌腱通过处。",,图1-3,高
压迹,impression,其他,第一章 运动系统,8,35,大而浅的光滑凹面称窝fossa; 略小的窝称凹 fovea 或小凹 foveola; 长形的凹称沟sulcus; 浅凹陷称压迹impression。,,,"图1-2, 图1-3",高
口,aperture,腔隙通道,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
头,head,其他,第一章 运动系统,8,35,4. 骨端的膨大 骨端圆形膨大称 头 head 或小头 capitulum; 头下略细部分称颈 neck; 椭圆形膨大 称髁 condyle; 髁的突出处称上髁epicondyle。,,,图1-3,高
孔,foramen,骨与骨性标志,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
小凹,foveola,其他,第一章 运动系统,8,35,大而浅的光滑凹面称窝fossa; 略小的窝称凹 fovea 或小凹 foveola; 长形的凹称沟sulcus; 浅凹陷称压迹impression。,,,"图1-2, 图1-3",高
小头,capitulum,其他,第一章 运动系统,8,35,4. 骨端的膨大 骨端圆形膨大称 头 head 或小头 capitulum; 头下略细部分称颈 neck; 椭圆形膨大 称髁 condyle; 髁的突出处称上髁epicondyle。,,,图1-3,高
小房,cellule,其他,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
嵴,crest,骨与骨性标志,第一章 运动系统,8,35,尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。,,,"图1-2, 图1-3",高
房,antrum,其他,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
板障,diploë,其他,第一章 运动系统,8,35,"骨松质配布于中间, 称板障 diploë, 有板障 静脉经过。",,,图1-2,高
棘,spine,骨与骨性标志,第一章 运动系统,8,35,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。",,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process;","图1-2, 图1-3",高
沟,sulcus,骨与骨性标志,第一章 运动系统,8,35,大而浅的光滑凹面称窝fossa; 略小的窝称凹 fovea 或小凹 foveola; 长形的凹称沟sulcus; 浅凹陷称压迹impression。,,,"图1-2, 图1-3",高
突,process,骨与骨性标志,第一章 运动系统,8,35,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。",,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process;","图1-2, 图1-3",高
窝,fossa,骨与骨性标志,第一章 运动系统,8,35,大而浅的光滑凹面称窝fossa; 略小的窝称凹 fovea 或小凹 foveola; 长形的凹称沟sulcus; 浅凹陷称压迹impression。,,,"图1-2, 图1-3",高
窦,sinus,腔隙通道,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
管,canal,骨与骨性标志,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
粗隆,tuberosity,骨与骨性标志,第一章 运动系统,8,35,"形成程度不同的隆起, 其中明显高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。",,,"图1-2, 图1-3",高
红骨髓,red bone marrow,骨与骨性标志,第一章 运动系统,8,35,"3. 骨 髓 bone marrow 为充填于骨髓腔和骨松质间隙内的软组织 , 分为红骨髓和黄骨髓。",,"红 骨髓 red bone marrow 含有不同发育阶段的红细胞和其他幼稚型血细胞, 呈红色, 有造血和免疫功能。","图1-2, 图1-3",高
线,line,其他,第一章 运动系统,8,35,cess; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。,,,"图1-2, 图1-3",高
结节,tubercle,骨与骨性标志,第一章 运动系统,8,35,高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。,,,"图1-2, 图1-3",高
缘,border,其他,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,图1-3,高
腔,cavity,腔隙通道,第一章 运动系统,8,35,"3. 骨的空腔 为容纳空气 , 或因某些结构穿行而成。","3. 骨的空腔 为容纳空气 , 或因某些结构穿行而成。",,"图1-2, 图1-3",高
裂孔,hiatus,骨与骨性标志,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,图1-3,高
道,meatus,腔隙通道,第一章 运动系统,8,35,骨内较大的腔洞称腔 cavity、窦 sinus 或 房 antrum; 小腔称小房 cellule; 长形通道称管 canal 或道 meatus; 腔或管的开口称口 aperture 或孔 foramen; 边缘不完整的孔称裂孔hiatus。,长形通道称管 canal 或道 meatus;,,"图1-2, 图1-3",高
隆起,eminence,其他,第一章 运动系统,8,35,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。",,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process;","图1-2, 图1-3",高
面,surface,其他,第一章 运动系统,8,35,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process; 较尖锐的小突起称棘 spine; 基底较广的突起称隆起 eminence; 表面粗糙的隆起称粗隆 tuberosity 或结节 tubercle; 线形的高隆起称嵴crest; 低而粗涩的嵴称线line。",,"8 第一章 运动系统 1. 骨面突起 因肌腱或韧带的牵拉 , 骨表面形成程度不同的隆起, 其中明显高起于骨面的称 突 process;","图1-2, 图1-3",高
颈,neck,其他,第一章 运动系统,8,35,4. 骨端的膨大 骨端圆形膨大称 头 head 或小头 capitulum; 头下略细部分称颈 neck; 椭圆形膨大 称髁 condyle; 髁的突出处称上髁epicondyle。,,,图1-3,高
